Date,Open,High,Low,Close,Adj Close,Volume
2018-09-17,1251.900024,1251.900024,1220.500000,1226.250000,1219.498413,371950
2018-09-18,1224.000000,1238.900024,1214.250000,1217.199951,1210.498169,314415
2018-09-19,1225.000000,1227.000000,1201.199951,1210.300049,1203.636230,861320
2018-09-21,1220.050049,1237.099976,1183.199951,1216.849976,1210.150146,566364
2018-09-24,1216.000000,1239.900024,1204.250000,1232.300049,1225.515137,451884
2018-09-25,1233.300049,1244.900024,1195.750000,1230.599976,1223.824341,396784
2018-09-26,1235.199951,1254.099976,1226.800049,1251.750000,1244.857910,337685
2018-09-27,1259.800049,1263.250000,1238.599976,1252.900024,1246.001709,389427
2018-09-28,1260.000000,1271.099976,1247.650024,1258.199951,1251.272461,648062
2018-10-01,1258.199951,1260.000000,1204.300049,1231.550049,1224.769287,366797
2018-10-03,1233.099976,1239.750000,1198.699951,1205.300049,1198.663818,430421
2018-10-04,1199.000000,1199.000000,1105.050049,1120.550049,1114.380371,1482416
2018-10-05,1102.599976,1115.550049,1039.550049,1049.849976,1044.069580,1164483
2018-10-08,1048.849976,1115.349976,1025.199951,1107.949951,1101.849609,1330634
2018-10-09,1121.099976,1123.500000,1080.750000,1090.400024,1084.396362,620130
2018-10-10,1095.000000,1114.699951,1085.099976,1102.349976,1096.280518,404719
2018-10-11,1067.800049,1114.400024,1043.050049,1089.199951,1083.202881,765397
2018-10-12,1102.500000,1129.000000,1102.000000,1126.400024,1120.198120,446104
2018-10-15,1133.300049,1146.349976,1119.250000,1139.800049,1133.524414,397762
2018-10-16,1146.150024,1168.000000,1140.800049,1163.650024,1157.243042,464449
2018-10-17,1180.000000,1180.949951,1141.000000,1148.900024,1142.574219,1452993
2018-10-19,1103.900024,1110.000000,1073.150024,1101.650024,1095.584473,1461537
2018-10-22,1111.000000,1114.800049,1057.349976,1062.449951,1056.600220,646574
2018-10-23,1053.000000,1064.500000,1043.699951,1052.599976,1046.804443,527427
2018-10-24,1074.000000,1074.949951,1031.000000,1046.599976,1040.837524,584557
2018-10-25,1036.000000,1040.050049,1017.000000,1030.199951,1024.527710,704437
2018-10-26,1040.000000,1056.750000,1022.150024,1044.699951,1038.947876,647855
2018-10-29,1047.699951,1093.150024,1047.000000,1088.000000,1082.009521,535561
2018-10-30,1087.449951,1087.449951,1052.000000,1057.150024,1051.329468,558189
2018-10-31,1064.699951,1065.699951,1047.650024,1061.400024,1055.556030,3153168
